user_id,timestamp,deployed_at,elapsed_time,solving_id,bundle_id,explanation_id,tags,part,question_id,user_answer,correct_answer,correct,score,action_type,item_id,platform,cursor_time
u18640,1540015836390,1562890595949,28000.0,1.0,b4931,e4931,77,5,q6399,d,c,0,0.6794005486050713,,,,
u18640,1556793238419,1562890595949,21000.0,8988.0,b4931,e4931,77,5,q6399,d,c,0,0.6794005486050713,,,,
u18640,1540015853252,1565337753912,14000.0,2.0,b4955,e4955,92,5,q6423,a,c,0,0.6794005486050713,,,,
u18640,1556273579430,1565337753912,15000.0,7275.0,b4955,e4955,92,5,q6423,a,c,0,0.6794005486050713,,,,
u18640,1540015874458,-1,18000.0,3.0,b219,e219,44;45;185;184,2,q219,b,c,0,0.6794005486050713,,,,
u18640,1556406298251,-1,17000.0,7878.0,b219,e219,44;45;185;184,2,q219,c,c,1,0.6794005486050713,,,,
u18640,1540015894348,1571279123063,17000.0,4.0,b4012,e4012,106,5,q5480,c,b,0,0.6794005486050713,,,,
u18640,1556797832401,1571279123063,13000.0,9016.0,b4012,e4012,106,5,q5480,c,b,0,0.6794005486050713,,,,
u18640,1540015912793,1565337396843,16000.0,5.0,b4659,e4659,73,5,q6127,b,a,0,0.6794005486050713,,,,
u18640,1556529405682,1565337396843,34000.0,8147.0,b4659,e4659,73,5,q6127,a,a,1,0.6794005486050713,,,,
u18640,1540015934250,1571281573443,19000.0,6.0,b3603,e3603,93,5,q5071,a,b,0,0.6794005486050713,,,,
u18640,1556448242979,1571281573443,33000.0,8070.0,b3603,e3603,93,5,q5071,b,b,1,0.6794005486050713,,,,
u18640,1540015952545,1568634519162,15000.0,7.0,b4810,e4810,74,5,q6278,d,c,0,0.6794005486050713,,,,
u18640,1540018039898,1514558819769,22000.0,8.0,b60,e60,14;2;179;182,1,q60,a,a,1,0.6794005486050713,,,,
u18640,1556341205344,1514558819769,21000.0,7738.0,b60,e60,14;2;179;182,1,q60,a,a,1,0.6794005486050713,,,,
u18640,1540018072613,1514560009653,23000.0,9.0,b5605,e5605,17;7;179;184,1,q8134,a,c,0,0.6794005486050713,,,,
u18640,1557576029677,1514560009653,21000.0,11142.0,b5605,e5605,17;7;179;184,1,q8134,c,c,1,0.6794005486050713,,,,
u18640,1557642837824,1514560009653,24000.0,11507.0,b5605,e5605,17;7;179;184,1,q8134,c,c,1,0.6794005486050713,,,,
u18640,1540018102553,1514558767672,21000.0,10.0,b188,e188,19;2;185,1,q188,c,c,1,0.6794005486050713,,,,
u18640,1557620443805,1514558767672,3000.0,11259.0,b188,e188,19;2;185,1,q188,c,c,1,0.6794005486050713,,,,
u18640,1540018129701,1514962178861,21000.0,11.0,b8109,e8109,14;2;182,1,q11056,c,c,1,0.6794005486050713,,,,
u18640,1540018156105,1514558351537,20000.0,12.0,b5579,e5579,18;7;183,1,q8108,d,d,1,0.6794005486050713,,,,
u18640,1557481217075,1514558351537,25000.0,10714.0,b5579,e5579,18;7;183,1,q8108,d,d,1,0.6794005486050713,,,,
u18640,1540018186538,1514559178860,23000.0,13.0,b5617,e5617,22;2;184,1,q8146,d,b,0,0.6794005486050713,,,,
u18640,1556100697329,1514559178860,23000.0,6483.0,b5617,e5617,22;2;184,1,q8146,b,b,1,0.6794005486050713,,,,
u18640,1540018216493,1558093222784,23000.0,14.0,b3,e3,14;2;179;183,1,q3,b,b,1,0.6794005486050713,,,,
u18640,1556950569055,1558093222784,22000.0,9342.0,b3,e3,14;2;179;183,1,q3,b,b,1,0.6794005486050713,,,,
u18640,1540018242454,1552357369237,19000.0,15.0,b8238,e8238,15;2;182,1,q11185,a,a,1,0.6794005486050713,,,,
u18640,1540018271299,1514559167490,22000.0,16.0,b5563,e5563,6;7;183,1,q8092,b,b,1,0.6794005486050713,,,,
u18640,1557472218525,1514559167490,28000.0,10603.0,b5563,e5563,6;7;183,1,q8092,d,b,0,0.6794005486050713,,,,
u18640,1557761312520,1514559167490,23000.0,11997.0,b5563,e5563,6;7;183,1,q8092,d,b,0,0.6794005486050713,,,,
u18640,1540018327704,1514559765424,24000.0,17.0,b146,e146,6;7;179;181,1,q146,b,b,1,0.6794005486050713,,,,
u18640,1557127432115,1514559765424,29000.0,9541.0,b146,e146,6;7;179;181,1,q146,d,b,0,0.6794005486050713,,,,
u18640,1540018357693,1514558264428,22000.0,18.0,b166,e166,18;7;185,1,q166,a,c,0,0.6794005486050713,,,,
u18640,1541596139709,1514558264428,17000.0,460.0,b166,e166,18;7;185,1,q166,c,c,1,0.6794005486050713,,,,
u18640,1556405647188,1514558264428,22000.0,7872.0,b166,e166,18;7;185,1,q166,c,c,1,0.6794005486050713,,,,
