timestamp,solving_id,question_id,user_answer,elapsed_time
2019-08-06 12:56:30.868,1,5012,b,38.0
2019-08-06 12:57:01.062,2,4706,c,24.0
2019-08-06 12:58:13.432,3,4366,b,68.0
2019-08-06 12:58:59.668,4,4829,a,42.0
2019-08-06 13:00:01.774,5,6528,b,59.0
2019-08-06 13:01:03.370,6,4793,a,58.0
2019-08-06 13:01:41.746,7,6488,a,35.0
2019-08-06 13:11:41.361,8,356,b,23.0
2019-08-06 13:12:51.393,9,1382,c,22.0
2019-08-06 13:14:00.758,10,830,b,25.0
2019-08-06 13:14:57.745,11,11259,b,23.0
2019-08-06 13:15:46.903,12,1092,a,20.0
2019-08-06 13:16:36.305,13,524,a,22.0
2019-08-06 13:17:27.155,14,485,c,21.0
2019-08-06 13:18:16.402,15,11261,b,23.0
2019-08-06 13:19:04.796,16,1329,b,20.0
2019-08-06 13:19:48.350,17,1204,c,18.0
2019-08-06 21:22:50.152,18,4891,b,28.0
2019-08-06 21:23:53.493,19,5477,a,35.0
2019-08-06 21:25:11.968,20,5049,b,47.0
2019-08-06 21:26:27.167,21,17211,c,35.0
2019-08-06 22:28:01.697,22,4760,c,41.0
2019-08-06 22:29:52.803,23,5957,c,29.0
2019-08-06 22:30:48.696,24,4041,d,35.0
2019-08-06 22:31:37.527,25,8633,d,26.0
2019-08-06 22:32:27.697,26,4480,c,28.0
2019-08-06 22:33:09.667,27,4034,d,10.0
2019-08-07 13:26:04.524,28,325,c,22.0
2019-08-07 13:27:08.456,29,295,c,18.0
2019-08-07 13:28:26.667,30,351,b,19.0
2019-08-07 13:29:51.613,31,1298,a,20.0
2019-08-07 13:30:56.806,32,1234,a,17.0
2019-08-07 13:32:09.584,33,11263,b,20.0
2019-08-07 13:33:29.852,34,391,b,21.0
2019-08-07 13:34:46.566,35,1010,a,17.0
2019-08-07 13:35:54.179,36,563,a,20.0
2019-08-07 13:37:11.706,37,11262,a,18.0
2019-08-07 13:39:48.342,38,3911,a,81.0
2019-08-07 13:41:14.171,39,9786,a,22.0
2019-08-07 13:42:12.658,40,4526,d,32.0
2019-08-07 13:43:49.040,41,5231,a,49.0
2019-08-07 13:44:38.587,42,4685,b,23.0
2019-08-07 13:45:21.429,43,17249,c,19.0
2019-08-07 13:46:45.196,44,5388,c,58.0
2019-08-07 13:48:16.744,45,4324,a,57.0
2019-08-07 13:49:16.998,46,4631,b,28.0
2019-08-07 13:50:04.571,47,17122,b,38.0
2019-08-09 00:23:28.783,48,6047,d,173.0
2019-08-09 00:24:08.409,49,5379,c,13.0
2019-08-09 00:25:20.427,50,5071,a,43.0
2019-08-09 00:26:31.354,51,8940,a,22.0
2019-08-09 00:27:20.463,52,5281,b,21.0
2019-08-09 00:28:03.202,53,5330,a,18.0
2019-08-09 00:28:48.406,54,4559,b,27.0
2019-08-09 00:30:24.544,55,9724,a,49.0
2019-08-09 00:32:08.635,56,6737,d,26.0
2019-08-09 00:33:17.025,57,3791,d,50.0
2019-08-09 14:23:38.399,58,150,c,44.0
2019-08-09 14:24:52.685,59,8093,c,24.0
2019-08-09 14:25:43.731,60,8061,b,23.0
2019-08-09 14:26:33.558,61,11016,b,24.0
2019-08-09 14:27:34.043,62,143,c,24.0
2019-08-09 14:29:08.359,63,560,c,21.0
2019-08-09 14:30:14.170,64,577,b,19.0
2019-08-09 14:31:05.508,65,698,a,22.0
2019-08-09 14:32:42.865,66,11249,b,23.0
2019-08-09 14:33:39.042,67,1182,a,22.0
2019-08-10 00:05:58.060,68,6838,b,53.5
2019-08-10 00:05:58.109,68,6839,a,53.5
2019-08-10 00:05:58.175,68,6837,a,53.5
2019-08-10 00:05:58.206,68,6840,c,53.5
2019-08-10 00:11:27.882,69,10635,a,59.5
2019-08-10 00:11:28.192,69,10636,a,59.5
2019-08-10 00:11:28.425,69,10634,b,59.5
2019-08-10 00:11:28.432,69,10637,b,59.5
2019-08-11 21:23:14.636,70,5499,a,9.0
2019-08-11 21:24:14.678,71,6501,d,44.0
2019-08-11 21:26:13.386,72,8687,a,38.0
