,user_id,timestamp,solving_id,question_id,user_answer,elapsed_time,action_type,item_id,source,platform,cursor_time,bundle_id,explanation_id,correct_answer,part,tags,deployed_at,correct,score
0,u10366,1566985300169,1.0,q5754,b,45000.0,0,0,0,0,0.0,b4286,e4286,c,5,74,1568635690061,0,0.5409836065573771
1,u10366,1566985345133,2.0,q8459,c,41000.0,0,0,0,0,0.0,b5810,e5810,c,5,74,1526633984993,1,0.5409836065573771
2,u10366,1566985369255,3.0,q377,a,20000.0,0,0,0,0,0.0,b377,e377,a,2,30;31;32;185;181,-1,1,0.5409836065573771
3,u10366,1566985427178,4.0,q5332,a,54000.0,0,0,0,0,0.0,b3864,e3864,a,5,116,1571278538339,1,0.5409836065573771
4,u10366,1566985481289,5.0,q4981,d,51000.0,0,0,0,0,0.0,b3513,e3513,d,5,74,1568688143316,1,0.5409836065573771
5,u10366,1566985539508,6.0,q5003,c,54000.0,0,0,0,0,0.0,b3535,e3535,b,5,74,1568688189062,0,0.5409836065573771
6,u10366,1566985613805,7.0,q10026,c,69000.0,0,0,0,0,0.0,b7377,e7377,b,5,78,1558094541774,0,0.5409836065573771
7,u10366,1566985677389,8.0,q4145,c,60000.0,0,0,0,0,0.0,b2677,e2677,c,5,85,1519105164146,1,0.5409836065573771
8,u10366,1566985756515,9.0,q4617,a,75000.0,0,0,0,0,0.0,b3149,e3149,a,5,83,1565337240491,1,0.5409836065573771
9,u10366,1566985814767,10.0,q4014,d,54000.0,0,0,0,0,0.0,b2546,e2546,a,5,85,1562890105569,0,0.5409836065573771
10,u10366,1566985875633,11.0,q10027,a,57000.0,0,0,0,0,0.0,b7378,e7378,c,5,78,1558094544339,0,0.5409836065573771
11,u10366,1566989093007,12.0,q7508,d,57200.0,0,0,0,0,0.0,b5366,e5366,b,7,155;164;162;149;178,1523424232430,0,0.5409836065573771
12,u10366,1566989093022,12.0,q7506,d,57200.0,0,0,0,0,0.0,b5366,e5366,c,7,155;164;162;149;178,1523424230017,0,0.5409836065573771
13,u10366,1566989093039,12.0,q7507,a,57200.0,0,0,0,0,0.0,b5366,e5366,d,7,155;164;162;150;178,1523424231113,0,0.5409836065573771
14,u10366,1566989093102,12.0,q7505,d,57200.0,0,0,0,0,0.0,b5366,e5366,c,7,155;164;162;156;178,1523424228950,0,0.5409836065573771
15,u10366,1566989093119,12.0,q7509,d,57200.0,0,0,0,0,0.0,b5366,e5366,a,7,155;164;162;151;178,1523424233494,0,0.5409836065573771
16,u10366,1566989653058,13.0,q7248,a,68600.0,0,0,0,0,0.0,b5299,e5299,a,7,146;158;163;179;178;149;178,1539232582520,1,0.5409836065573771
17,u10366,1566989653099,13.0,q7251,d,68600.0,0,0,0,0,0.0,b5299,e5299,b,7,146;158;163;179;178;153;178,1539232587520,0,0.5409836065573771
18,u10366,1566989653103,13.0,q7249,d,68600.0,0,0,0,0,0.0,b5299,e5299,d,7,146;158;163;179;178;149;178,1539232584422,1,0.5409836065573771
19,u10366,1566989653149,13.0,q7250,d,68600.0,0,0,0,0,0.0,b5299,e5299,a,7,146;158;163;179;178;149;178,1539232586511,0,0.5409836065573771
20,u10366,1566989653168,13.0,q7247,d,68600.0,0,0,0,0,0.0,b5299,e5299,d,7,146;158;163;179;178;150;178,1539232581396,1,0.5409836065573771
21,u10366,1566989738052,14.0,q7886,b,10400.0,0,0,0,0,0.0,b5474,e5474,c,7,170;172;173;149;178,1571279230824,0,0.5409836065573771
22,u10366,1566989738118,14.0,q7888,a,10400.0,0,0,0,0,0.0,b5474,e5474,b,7,170;172;173;149;178,1571279232967,0,0.5409836065573771
23,u10366,1566989738125,14.0,q7889,b,10400.0,0,0,0,0,0.0,b5474,e5474,d,7,170;172;173;149;178,1571279234061,0,0.5409836065573771
24,u10366,1566989738157,14.0,q7887,c,10400.0,0,0,0,0,0.0,b5474,e5474,d,7,170;172;173;153;178,1571279231893,0,0.5409836065573771
25,u10366,1566989738228,14.0,q7890,c,10400.0,0,0,0,0,0.0,b5474,e5474,a,7,170;172;173;149;178,1571279235156,0,0.5409836065573771
26,u10366,1566990247545,15.0,q3783,b,42000.0,0,0,0,0,0.0,b2315,e2315,b,5,106,1565337856685,1,0.5409836065573771
27,u10366,1566990370558,16.0,q6319,b,62000.0,0,0,0,0,0.0,b4851,e4851,d,5,129,1558093315847,0,0.5409836065573771
28,u10366,1566990502336,17.0,q4831,c,63000.0,0,0,0,0,0.0,b3363,e3363,b,5,109,1568635401536,0,0.5409836065573771
29,u10366,1566990603104,18.0,q9146,a,32000.0,0,0,0,0,0.0,b6497,e6497,a,5,85,1522993926518,1,0.5409836065573771
30,u10366,1566990730542,19.0,q5316,a,75000.0,0,0,0,0,0.0,b3848,e3848,c,5,113,1571278509216,0,0.5409836065573771
31,u10366,1566990842988,20.0,q5150,c,48000.0,0,0,0,0,0.0,b3682,e3682,c,5,105,1568636392556,1,0.5409836065573771
32,u10366,1566990951078,21.0,q5219,b,49000.0,0,0,0,0,0.0,b3751,e3751,b,5,123,1571278073136,1,0.5409836065573771
33,u10366,1566991039894,22.0,q17175,d,42000.0,0,0,0,0,0.0,b11412,e11412,d,5,86,1571281713026,1,0.5409836065573771
34,u10366,1566991077288,23.0,q5678,b,19000.0,0,0,0,0,0.0,b4210,e4210,b,5,95,1568635501987,1,0.5409836065573771
35,u10366,1566991129583,24.0,q6503,d,25000.0,0,0,0,0,0.0,b5035,e5035,b,5,114,1565337272220,0,0.5409836065573771
36,u10366,1567158121524,25.0,q5052,c,38000.0,0,0,0,0,0.0,b3584,e3584,c,5,107,1571281540435,1,0.5409836065573771
37,u10366,1567158198867,26.0,q6740,a,68000.0,0,0,0,0,0.0,b5146,e5146,c,5,102,1555044938993,0,0.5409836065573771
38,u10366,1567158433015,27.0,q4122,b,91000.0,0,0,0,0,0.0,b2654,e2654,d,5,113,1568687721354,0,0.5409836065573771
39,u10366,1567158610033,28.0,q5493,d,72000.0,0,0,0,0,0.0,b4025,e4025,c,5,86,1571279147363,0,0.5409836065573771
40,u10366,1567158779330,29.0,q5770,c,27000.0,0,0,0,0,0.0,b4302,e4302,c,5,108,1568635743843,1,0.5409836065573771
41,u10366,1567158861893,30.0,q6188,c,34000.0,0,0,0,0,0.0,b4720,e4720,d,5,128,1558092763311,0,0.5409836065573771
42,u10366,1567158972755,31.0,q6156,a,60000.0,0,0,0,0,0.0,b4688,e4688,b,5,91,1564125518641,0,0.5409836065573771
43,u10366,1567159110396,32.0,q3911,b,47000.0,0,0,0,0,0.0,b2443,e2443,d,5,115,1526636029980,0,0.5409836065573771
44,u10366,1567159234755,33.0,q3935,b,56000.0,0,0,0,0,0.0,b2467,e2467,a,5,142,1526636079176,0,0.5409836065573771
45,u10366,1567382844686,34.0,q9631,b,58000.0,0,0,0,0,0.0,b6982,e6982,b,5,133,1568689076791,1,0.5409836065573771
46,u10366,1567382985407,35.0,q4178,a,54000.0,0,0,0,0,0.0,b2710,e2710,b,5,75,1568688427404,0,0.5409836065573771
47,u10366,1567383150389,36.0,q5405,c,69000.0,0,0,0,0,0.0,b3937,e3937,d,5,97,1571278677940,0,0.5409836065573771
